Signal_MD Platinum_End
Passione Mieruko_chan
White_Fox Steins_Gate
David_Production Jojo_5
Madhouse Hunter_x_Hunter
Sunrise Code_Geass_2
Kyoto_Animation Koe_no_Katachi
Sunrise Gintama
David_Production Level_E
Trigger BNA
Sunrise Accel_World
CoMix_Wave_Films Kimi_no_Na_wa
OLM Odd_Taxi
Sunrise Cowboy_Bebop
Wit_Studio Vinland_saga
MAPPA Jujutsu_Kaisen
Kinema_Citrus Made_in_Abyss
Studio_Ghibli Mononoke_Hime
Artland Mushishi
OLM Pokemon_XY
A_1_Pictures Shigatsu_wa_Kimi_no_Uso
Studio_Ghibli Howl_no_Igoku_shiro
Toei_Animation One_Piece
ufotable Kimetsu_no_Yaiba
Madhouse One_Punch_Man
Kinema_Citrus Made_in_Abyss_Dawn
Wit_Studio Shingeki_no_Kyojin
MAPPA Banana_Fish
White_Fox Steins_Gate_0
CoMix_Wave_Films Hoshi_wo_Ou_Kodomo
Madhouse Perfect_Blue
Kinema_Citrus Black_Bullet
Madhouse Nana
Bones Mob_Psycho_100
Kyoto_Animation Nichijou
Zero_G Grand_Blue
Madhouse Hellsing_Ultimate
J_C_Staff Taboo_Tattoo
asread_ Shuffle_
Studio_VOLN Back_Arrow
Studio_Pierrot Tokyo_Ghoul_re
Production_I_G Psycho_Pass
David_Production Hataraku_Saibou
TROYCA Aldnoah_Zero
MAPPA Inuyashiki
Sunrise InuYasha
Kyoto_Animation K_On_
Gonzo Full_Metal_Panic_
8bit Tensei_shitara_Slime_Datta_Ken
Studio_Pierrot Aukama_Drive
CoMix_Wave_Films Hoshi_no_Koe
P_A__Works Another
A_1_Pictures Kuroshitsuji
Bones Darker_than_Black
Pierrot_Plus Beelzebub
asread_ Big_Order
MAPPA Chainsaw_Man
Trigger Little_Witch_Academia
Studio_Pierrot Black_Clover
Studio_Deen Pupa
MAPPA Hana_wa_Saku
Studio_Pierrot Bleach
A_1_Pictures Blend_S
Gonzo Rosario_to_Vampire
P_A__Works Charlotte
Sunrise Code_Geass
Brain_s_Base Durarara__
Arms Elfen_Lied
Production_I_G Haikyuu__
Kyoto_Animation Clannad
White_Fox Jormungand
Kyoto_Animation Clannad__After_Story
Madhouse Death_Note
Science_SARU Devilman__Crybaby
J_C_Staff Ikkitousen
MAPPA Dororo
Toei_Animation Dragon_Ball
Kyoto_Animation Hyouka
Studio_Pierrot Konbini_Kareshi
TMS_Entertainment Dr__Stone
Studio_Ghibli Ged_Senki
TMS_Entertainment Dr__Stone__Stone_Wars
David_Production Enen_no_Shouboutai
A_1_Pictures Fairy_Tail
ufotable Fate_Zero
Studio_Deen Fate_stay_night
ufotable Fate_stay_night__UBW
Bones Fullmetal_Alchemist__B_
White_Fox Goblin_Slayer
Wit_Studio Great_Pretender
Studio_Ghibli Spirited_Away
Production_I_G Guilty_Crown
Gonzo Hellsing
OLM Pokemon
Bandai_Namco_Pictures Gintama_The_Final
P_A__Works Sirius
MAPPA Kakegurui
David_Production Jojo
TMS_Entertainment Detective_Conan
MAPPA KakeguruiXX
Studio_Ghibli Karigueashi_no_Arrietty
Studio_Ghibli Kaze_Tachinu
Trigger Kill_la_Kill
TMS_Entertainment ReLife
Nut Youjo_Senki
Studio_VOLN Kimi_no_Suizou_wo_Tabetai
Madhouse Parasyte__The_Maxim
Studio_Deen Konosuba
J_C_Staff Golden_Time
Studio_Ghibli Omoide_Poroporo
CoMix_Wave_Films The_Garden_of_Words
Kyoto_Animation Kyoukai_no_Kanata
Studio_Ghibli Majo_no_Takkyuubin
P_A__Works Angel_Beats_
Studio_Ghibli Mimi_wo_Sumaseba
asread_ Mirai_Nikki
Madhouse Black_Lagoon
Brain_s_Base Baccano_
Ruo_Hong_Culture Wushen_Zhuzai
A_1_Pictures Nanatsu_no_Taizai
Studio_Pierrot Naruto
Studio_Pierrot Naruto__Shippuuden
Madhouse No_Game_No_Life
Bones Noragami
Studio_Ghibli Omoide_no_Marnie
Madhouse Overlord
Madhouse Overlord_II
J_C_Staff Prison_School
TROYCA Re_Creators
White_Fox Re_Zero
A_1_Pictures Your_Lie_in_April
J_C_Staff Shokugeki_no_Souma
Bones Soul_Eater
Seven_Arcs Basilisk_Ouka_Ninpouchou
A_1_Pictures Sword_Art_Online
Kinema_Citrus Tate_no_Yuusha_no_Nariagari
CoMix_Wave_Films Tenki_no_Ko
Bones Un_Go
J_C_Staff Toradora_
A_1_Pictures Ao_no_Exorcist
Studio_Ghibli Tenkuu_no_shiro_Laputa
J_C_Staff Toaru_Kagaku_no_Railgun
Studio_Pierrot Tokyo_Ghoul
Studio_Ghibli Tonari_no_Totoro
Seven_Arcs Tonikaku_Kawaii
Manglobe Deadman_Wonderland
Kyoto_Animation Violet_Evergarden
Toei_Animation Dragon_Ball_Z
Seven_Arcs Trinity_Seven
A_1_Pictures Eromanga_sensei
